Genotypes,mg_ml_glucose,Block,Trials
BB,0.281,1,1
BB,0.404,2,1
BB,0.392,3,1
BB,0.246,4,1
BB,0.208,5,1
BB,0.382,6,1
BB,0.397,7,1
BB,0.325,8,1
SP,0.03,1,1
SP,0.148,2,1
SP,0.219,3,1
SP,0.245,4,1
SP,0.311,5,1
SP,0.153,6,1
SP,0.109,7,1
SP,0.263,8,1
BB,0.025,1,2
BB,0.115,2,2
BB,0.2,3,2
BB,0.115,4,2
BB,0.039,5,2
BB,0.281,6,2
BB,0.155,7,2
BB,0.131,8,2
BB,0.264,9,2
BB,0.142,10,2
SP,0.012,1,2
SP,0.059,2,2
SP,0.053,3,2
SP,0.062,4,2
SP,0.012,5,2
SP,0.038,6,2
SP,0.003,7,2
SP,0,8,2
SP,0.128,9,2
SP,0.059,10,2
