Genotypes,mg_ml_glucose,Block,Trials
BB,0.41,1,1
BB,0.073,2,1
BB,0.524,3,1
BB,0.39,4,1
BB,0.467,5,1
BB,0.224,6,1
BB,0.291,7,1
BB,0.215,8,1
SP,0.035,1,1
SP,0.019,2,1
SP,0.226,3,1
SP,0.026,4,1
SP,0.082,5,1
SP,0.339,6,1
SP,0.04,7,1
SP,0.026,8,1
BB,0.165,1,2
BB,0.297,2,2
BB,0.153,3,2
BB,0.263,4,2
BB,0.232,5,2
BB,0.198,6,2
BB,0.223,7,2
BB,0.098,8,2
BB,0.356,9,2
BB,0.257,10,2
SP,0.031,1,2
SP,0.032,2,2
SP,0.334,3,2
SP,0.4,4,2
SP,0.282,5,2
SP,0.026,6,2
SP,0.083,7,2
SP,0.214,8,2
SP,0.076,9,2
SP,0.298,10,2
